categorie,id_cat_parent,id_categorie,lien_categorie,type
Traitement eau et gaz,category-5062,category-5052,https://www.centrale-brico.com/plomberie-sanitaire/traitement-eau-et-gaz,SOUS_CAT
Vidage,category-5062,category-5053,https://www.centrale-brico.com/plomberie-sanitaire/vidage,SOUS_CAT
WC,category-5062,category-5054,https://www.centrale-brico.com/plomberie-sanitaire/wc,SOUS_CAT
Automatisme,category-5062,category-5009,https://www.centrale-brico.com/domotique-securite/automatisme,SOUS_CAT
Protection incendie,category-5062,category-5010,https://www.centrale-brico.com/domotique-securite/protection-incendie,SOUS_CAT
Sécurité domicile,category-5062,category-5011,https://www.centrale-brico.com/domotique-securite/securite-domicile,SOUS_CAT
Bazar,category-5062,category-5028,https://www.centrale-brico.com/habitat/bazar,SOUS_CAT
Cuisine,category-5062,category-5029,https://www.centrale-brico.com/habitat/cuisine,SOUS_CAT
Loisir créatif,category-5062,category-5030,https://www.centrale-brico.com/habitat/loisir-creatif,SOUS_CAT
Peinture,category-5062,category-5031,https://www.centrale-brico.com/habitat/peinture,SOUS_CAT
Arrosage-Pompage,category-5062,category-5063,https://www.centrale-brico.com/jardin/arrosage-pompage,SOUS_CAT
Outils à main,category-5062,category-5110,https://www.centrale-brico.com/jardin/outils-a-main,SOUS_CAT
Outils motorisés,category-5062,category-5103,https://www.centrale-brico.com/jardin/outils-motorises,SOUS_CAT
Serres-Abris-Garages,category-5062,category-5124,https://www.centrale-brico.com/jardin/serres-abris-garages,SOUS_CAT
Mobilier et Loisirs,category-5062,category-5094,https://www.centrale-brico.com/jardin/mobilier-et-loisirs,SOUS_CAT
Piscines,category-5062,category-5117,https://www.centrale-brico.com/jardin/piscines,SOUS_CAT
"Pot, décoration et occultation",category-5062,category-5078,https://www.centrale-brico.com/jardin/pot-decoration-et-occultation,SOUS_CAT
Jardinage-cultures,category-5062,category-5086,https://www.centrale-brico.com/jardin/jardinage-cultures,SOUS_CAT
"Barbecue, plancha et cuisine d'extérieur",category-5062,category-5070,https://www.centrale-brico.com/jardin/barbecue-plancha-et-cuisine-d-exterieur,SOUS_CAT
Produits reconditionnés,category-5062,category-5188,https://www.centrale-brico.com/bonnes-affaires/produits-reconditionnes,SOUS_CAT
Déstockage,category-5062,category-5192,https://www.centrale-brico.com/bonnes-affaires/destockage,SOUS_CAT
Machine multifonction,category-5021,category-1566,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/machine-multifonction,PAGE_LIST
Rabot,category-5021,category-1563,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/rabot,PAGE_LIST
Défonceuse,category-5021,category-1564,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/defonceuse,PAGE_LIST
Mélangeur-Turbine,category-5021,category-1565,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/melangeur-turbine,PAGE_LIST
Pistolet à peinture,category-5021,category-1567,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/pistolet-a-peinture,PAGE_LIST
Découpeur,category-5021,category-1568,https://www.centrale-brico.com/electroportatif/autre-outil-electroportatif/decoupeur,PAGE_LIST
