identifiant,nom_categorie,type_cat,url,id_parent
ui-id-185,Soin et traitement,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/produit-de-soin-et-entretien/soin-et-traitement.html,ui-id-149
ui-id-186,Anti-nuisible,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/produit-de-soin-et-entretien/anti-nuisible.html,ui-id-149
ui-id-150,Equipement du jardin,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin.html,ui-id-9
ui-id-187,Pompe,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin/pompe.html,ui-id-150
ui-id-188,Arrosage,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin/arrosage.html,ui-id-150
ui-id-189,Récupérateur d'eau,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin/recuperateur-d-eau.html,ui-id-150
ui-id-190,"Pulvérisation, accessoires",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin/pulverisation-accessoires.html,ui-id-150
ui-id-191,Accessoires semis,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin/accessoires-semis.html,ui-id-150
ui-id-192,Composteur,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin/composteur.html,ui-id-150
ui-id-193,"Serre, film",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin/serre-film.html,ui-id-150
ui-id-194,Panier de récolte,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin/panier-de-recolte.html,ui-id-150
ui-id-195,"Brouette, chariot",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin/brouette-chariot.html,ui-id-150
ui-id-196,Outils à main du jardinier,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/equipement-du-jardin/outils-a-main-du-jardinier.html,ui-id-150
ui-id-151,Motoculture,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture.html,ui-id-9
ui-id-197,"Motoculteur, motobineuse, tarière",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/motoculteur-motobineuse-tariere.html,ui-id-151
ui-id-198,Scarificateur,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/scarificateur.html,ui-id-151
ui-id-199,"Tondeuse, autoportée, robot de tonte",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/tondeuse-autoportee-robot-de-tonte.html,ui-id-151
ui-id-200,Coupe bordure,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/coupe-bordure.html,ui-id-151
ui-id-201,Taille-haie,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/taille-haie.html,ui-id-151
ui-id-202,Débroussailleuse,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/debroussailleuse.html,ui-id-151
ui-id-203,"Aspirateur, souffleur",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/aspirateur-souffleur.html,ui-id-151
ui-id-204,"Tronçonneuse, élagueuse",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/tronconneuse-elagueuse.html,ui-id-151
ui-id-205,Broyeur,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/broyeur.html,ui-id-151
ui-id-206,"Fendeuse à bois, scie à bûche",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/fendeuse-a-bois-scie-a-buche.html,ui-id-151
ui-id-207,"Huile, consommable et pièce détachée",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/motoculture/huile-consommable-et-piece-detachee.html,ui-id-151
ui-id-152,Aménagement extérieur,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/amenagement-exterieur.html,ui-id-9
ui-id-208,"Abri, carport",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/amenagement-exterieur/abri-carport.html,ui-id-152
ui-id-209,"Clôture, grillage, occultation",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/amenagement-exterieur/cloture-grillage-occultation.html,ui-id-152
ui-id-210,"Portail, portillon",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/amenagement-exterieur/portail-portillon.html,ui-id-152
ui-id-211,Terrasse et sol extérieur,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/amenagement-exterieur/terrasse-et-sol-exterieur.html,ui-id-152
ui-id-212,Eclairage,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/amenagement-exterieur/eclairage.html,ui-id-152
ui-id-213,"Chauffage, brumisation",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/amenagement-exterieur/chauffage-brumisation.html,ui-id-152
ui-id-153,Plein air,S_CAT,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plein-air.html,ui-id-9
ui-id-214,Mobilier de jardin,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plein-air/mobilier-de-jardin.html,ui-id-153
ui-id-215,Barbecue,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plein-air/barbecue.html,ui-id-153
ui-id-216,Plancha,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plein-air/plancha.html,ui-id-153
ui-id-217,Accessoires et housse,PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plein-air/accessoires-et-housse.html,ui-id-153
ui-id-218,"Combustible, allume feu",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plein-air/combustible-allume-feu.html,ui-id-153
ui-id-219,"Piscine, spa",PAGE_LIST,https://www.lamaison.fr/jardin-et-amenagement-exterieur/plein-air/piscine-spa.html,ui-id-153
