,EAN_13,categorie,code,description,marque,nom,prix,reference_fabricant,remise_pourcentage,url_produit,prix_initial
1099,9120058379628,Scie circulaire,B8300600,Poids net en kg : 60,holzmann,Scierie mobile - tronc diametre max. 400 mm - Holzmann,617.0,HOL-MOBAS2,0.0,https://www.centrale-brico.com/holzmann-scierie-mobile-tronc-diametre-max-400-mm-b8300600,617.0
1100,9120039900834,Scie circulaire,B8300500,": Lame 355 mm, alésage 25,4 mm, étau.",holzmann,Scie circulaire a metaux - 2300W - 230V - Holzmann,617.0,HOL-MKS355_230V,0.0,https://www.centrale-brico.com/holzmann-scie-circulaire-a-metaux-2300w-230v-b8300500,617.0
1101,9120058375774,Scie circulaire,B8300400,"Lame Ø 254 mm, 60 dents, guide d´angle, poussoir de sécurité et guide parallèle avec loupe, capot protecteur avec flexible d’aspiration.",holzmann,Scie circulaire - 1800W - 230V 50Hz - Holzmann,617.0,HOL-TK255_230V,0.0,https://www.centrale-brico.com/holzmann-scie-circulaire-1800w-230v-50hz-b8300400,617.0
1102,9120058371448,Scie circulaire,B8294100,"Lame  T.C.T. 225 mm, système de refroidissement",holzmann,Scie circulaire a metaux - 1000W - 230V - Holzmann,826.0,HOL-MKS225_230V,0.0,https://www.centrale-brico.com/holzmann-scie-circulaire-a-metaux-1000w-230v-b8294100,826.0
1103,9120058371882,Scie circulaire,B8289500,"Lame T.C.T 200mm, chariot aluminium, guide de précision, rallonge en fonte.",holzmann,Scie circulaire - 1100W - 230V - Holzmann,1193.0,HOL-TS200_230V,0.0,https://www.centrale-brico.com/holzmann-scie-circulaire-1100w-230v-b8289500,1193.0
1104,9120058372032,Scie circulaire,B8286900,"Lame TCT Ø 254mm, chariot aluminium, guide de précision, presseur excentrique, rallonge.",holzmann,Scie circulaire - 2200W - 400V / 50Hz - Holzmann,1379.35,HOL-TS250_400V,6.23,https://www.centrale-brico.com/holzmann-scie-circulaire-2200w-400v-50hz-b8286900,1470.9928548576304
1105,9120058372049,Scie circulaire,B8286800,"Lame TCT Ø 254 mm, chariot aluminium, guide de précision, presseur excentrique, rallonge.",holzmann,Scie circulaire - 2200W - 230V / 50Hz - Holzmann,1379.35,HOL-TS250_230V,6.23,https://www.centrale-brico.com/holzmann-scie-circulaire-2200w-230v-50hz-b8286800,1470.9928548576304
1106,9120039902319,Scie circulaire,B8281900,"Protecteur de la lame, poussoir, lame TCT 400mm, avec 28 dentes, roues pour le déplacement. Boîte pour ranger les outils.",holzmann,"Scie circulaire de chantier, rallonges en option - 2800W - 400V - Holzmann",1880.01,HOL-TS400Z_400V,6.84,https://www.centrale-brico.com/holzmann-scie-circulaire-de-chantier-rallonges-en-option-2800w-400v-b8281900,2018.0442249892658
1107,912005837153,Perceuse a percussion,B8300200,"Mandrin auto serrant 1 à 16 mm, B16",holzmann,Perceuse d'etabli  - 600W - 230V - Holzmann,556.8,HOL-SB4116HM_230V,9.76,https://www.centrale-brico.com/holzmann-perceuse-d-etabli-600w-230v-b8300200,617.0212765957447
1108,9120039904078,Perceuse a percussion,B8300100,"Mandrin auto serrant 1 à 16 mm, B16.",holzmann,Perceuse d'etabli  - 600W - 400V - Holzmann,617.0,HOL-SB3116RMN_400V,0.0,https://www.centrale-brico.com/holzmann-perceuse-d-etabli-600w-400v-b8300100,617.0
1109,9120058371547,Perceuse a percussion,B8299900,"Mandrin auto serrant 1 à 16 mm, B16",holzmann,Perceuse d'etabli - 600W - 400V - Holzmann,556.8,HOL-SB4116HM_400V,9.76,https://www.centrale-brico.com/holzmann-perceuse-d-etabli-600w-400v-b8299900,617.0212765957447
1110,9120058371608,Perceuse a percussion,B8292800,Poids net en kg : 14,holzmann,Perceuse magnetique D. 45 mm - 230 V - 1650 W - Holzmann,821.1,HOL-MBM450LRE_230V,8.67,https://www.centrale-brico.com/holzmann-perceuse-magnetique-d-45-mm-230-v-1650-w-b8292800,899.0474104894339
1111,9120039904092,Perceuse a percussion,B8291800,Poids net en kg : 31,holzmann,Perceuse magnetique - 2080W - 230V - Holzmann,993.0,HOL-MBM600LRE_230V,0.0,https://www.centrale-brico.com/holzmann-perceuse-magnetique-2080w-230v-b8291800,993.0
1112,9120058379482,Perceuse a percussion,B8275600,": Armoire avec porte, fraises",holzmann,Perceuse automatique  -  400 V / 50 Hz - Holzmann,3380.0,HOL-BBSM50AUTO_400V,0.0,https://www.centrale-brico.com/holzmann-perceuse-automatique-400-v-50-hz-b8275600,3380.0
1113,4006825587777,Perceuse a percussion,B8016500,"Perceuse à percussion électrique 1010 W, modèle TH-ID 1000 E de Einhell.",einhell,Perceuse a percussion TH-ID 1000 E RECONDITIONNE - EINHELL,35.27,4259825REC,58.58,https://www.centrale-brico.com/einhell-perceuse-a-percussion-th-id-1000-e-reconditionne-b8016500,85.15210043457267
1114,4006825659092,Perceuse a percussion,B7677600,"La perceuse/visseuse à percussion sans fil Einhell TP-CD 18/60 Li-i Brushless est dotée d'un moteur sans balais pour de meilleures performances et des temps de fonctionnement plus longs qu'un moteur à balais de charbon conventionnel. Avec la perceuse/visseuse à percussion sans fil sans balais, il n'y a pas d'usure due à l'abrasion mécanique. En tant que membre de la famille Power X-Change, toutes les batteries de la gamme avec les cellules de batterie lithium-ion hautes performances peuvent également être utilisées avec le TP-CD 18/60 Li-i Brushless.",einhell,Perceuse a percussion sans fil TP-CD 18/60 Li- i BL Solo - EINHELL,113.93,EIN-4514205,10.25,https://www.centrale-brico.com/einhell-perceuse-a-percussion-sans-fil-tp-cd-1860-li-i-bl-solo-b7677600,126.94150417827298
1115,4061792201484,Perceuse a percussion,B7602200,Système électronique Vario (V) pour travailler avec des vitesses adaptées aux matériaux,metabo,Perceuse a percussion filaire SBE 650 - Mandrin autoserrant (carton) - Metabo,128.77,600742850,0.94,https://www.centrale-brico.com/metabo-perceuse-a-percussion-filaire-sbe-650-mandrin-autoserrant-carton-b7602200,129.9919240864123
1116,4061792201613,Perceuse a percussion,B7602000,Système électronique Vario (V) pour travailler avec des vitesses adaptées aux matériaux,metabo,Coffret Perceuse a percussion filaire SBE 650 Impuls - Mandrin autoserrant - Metabo,133.01,600743500,13.04,https://www.centrale-brico.com/metabo-coffret-perceuse-a-percussion-filaire-sbe-650-impuls-mandrin-autoserrant-b7602000,152.9553817847286
1117,406179221785,Perceuse a percussion,B7601600,Perceuse à percussion sans fil compacte et légère pour les applications les plus variées,metabo,"Coffret Perceuse a percussion 12 V sans fil PowerMaxx SB BL 2 x 2,0 Ah Li-Power, LC12 - Metabo",242.02,601784500,0.44,https://www.centrale-brico.com/metabo-coffret-perceuse-a-percussion-12-v-sans-fil-powermaxx-sb-bl-2-x-20-ah-li-power-lc12-b7601600,243.08959421454398
1118,4007430214706,Perceuse a percussion,B6811300,Système électronique Vario (V) pour travailler avec des vitesses adaptées aux matériaux,metabo,"Perceuse a percussion SBE 760 - 760W - Mandrin autoserrant, coffret - Metabo",211.08,MET-600841850,29.64,https://www.centrale-brico.com/metabo-perceuse-a-percussion-sbe-760-760w-mandrin-autoserrant-coffret-b6811300,300.0
1119,4061792201422,Perceuse a percussion,B6811100,Système électronique Vario (V) pour travailler avec des vitesses adaptées aux matériaux,metabo,"Perceuse a percussion SBE 650 - 650W - Mandrin autoserrant, coffret - Metabo",112.23,MET-600742500,38.42,https://www.centrale-brico.com/metabo-perceuse-a-percussion-sbe-650-650w-mandrin-autoserrant-coffret-b6811100,182.25073075673922
1120,4007430287069,Perceuse a percussion,B6782200,Système Metabo Quick : changement rapide du porte-outil et de l'outil pour un travail flexible,metabo,"Perceuse a percussion 18 V SB 18 LTX Q I - Pick+Mix (sans batterie), coffret Metabox - Metabo",376.49,MET-602200840,18.09,https://www.centrale-brico.com/metabo-perceuse-a-percussion-18-v-sb-18-ltx-q-i-pickmix-sans-batterie-coffret-metabox-b6782200,459.63862776217803
1121,9120039904733,Poste a souder,B8301900,"écran de soudage, marteau, accessoires.",holzmann,Poste a souder inverter avec electrode. - Holzmann,349.9,HOL-EISA200,10.74,https://www.centrale-brico.com/holzmann-poste-a-souder-inverter-avec-electrode-b8301900,392.00089625812234
1122,9120039904719,Poste a souder,B8300700,"Réducteur de pression, boite avec électrodes tungstène, masque de soudage",holzmann,WIG/TIG Poste a souder INVERTER - Holzmann,386.3,HOL-TISA200,13.0,https://www.centrale-brico.com/holzmann-wigtig-poste-a-souder-inverter-b8300700,444.02298850574715
1123,9120039904696,Poste a souder,B8288100,"Réducteur de pression, mise à la terre, torche TIG, torche MMA, grande boîte de pièces de rechange avec des électrodes de tungstène",holzmann,Poste a souder WIG/TIG INVERTER (PULSE) 230V - 6 Kva - 200A - Holzmann,1293.0,HOL-PISA200ACDC,0.0,https://www.centrale-brico.com/holzmann-poste-a-souder-wigtig-inverter-pulse-230v-6-kva-200a-b8288100,1293.0
1124,9120039904672,Poste a souder,B8285400,"Réducteur de pression, complète boite de pièces détachés, écran numérique de soudure, spray de soudure.",holzmann,Mig/mag poste a souder - Holzmann,1484.19,HOL-MSA315,5.53,https://www.centrale-brico.com/holzmann-migmag-poste-a-souder-b8285400,1571.0701810098444
1125,8011399027662,Poste a souder,B3990300,"Poste portatif équipé d'un générateur onduleur, Technologie MMA (Métal Manual Arc) pour soudure à l'arc avec électrodes rutiles, basiques, inox et fonte. Alimentation 230 V - 50 Hz. Courant de sortie continu. Protection thermostatique. Systèmes ""Hot Start"" pour faciliter l'amorçage de l'arc et ""Anti-Sticking"" pour éviter le collage de l'électrode.",deca,Poste a souder MMA ondulateur SIL 313 - DECA,296.16,D-0060501,19.52,https://www.centrale-brico.com/deca-poste-a-souder-mma-ondulateur-sil-313-b3990300,367.99204771371774
1126,3223430161012,Fer a souder,B4764300,Fer à souder électrique - pointue Ø 6 mm 60 W,outifrance,Fer a souder electrique - pointue O 6 mm 60 W - OUTIFRANCE,12.74,OUT-0500025,37.79,https://www.centrale-brico.com/outifrance-fer-a-souder-electrique-pointue-6-mm-60-w-b4764300,20.479022665166372
1127,3223430160992,Fer a souder,B4764200,Fer à souder électrique - pointue Ø 3 mm 30 W,outifrance,Fer a souder electrique - pointue O 3 mm 30 W - OUTIFRANCE,18.7,OUT-0500010,0.0,https://www.centrale-brico.com/outifrance-fer-a-souder-electrique-pointue-3-mm-30-w-b4764200,18.7
1128,3223430161005,Fer a souder,B1447000,Manche ergonomique avec collerette de sécurité. Panne interchangeable. Livré avec 1 panne.,outifrance,Fer a souder electrique 40 W - OUTIFRANCE,22.09,500015,0.0,https://www.centrale-brico.com/outifrance-fer-a-souder-electrique-40-w-b1447000,22.09
1129,3189640003095,Fer a souder,B722600,,express,Fer a souder electrique hrt n309-300w - EXPRESS,142.53,0435108,9.74,https://www.centrale-brico.com/express-fer-a-souder-electrique-hrt-n309-300w-b722600,157.91048083314868
1130,3223430161036,Fer a souder,B1447300,Chauffe ultra-rapide (moins de 5 secondes).,outifrance,Fer a souder electrique instantane 100 W - OUTIFRANCE,14.53,500100,35.91,https://www.centrale-brico.com/outifrance-fer-a-souder-electrique-instantane-100-w-b1447300,22.671243563738493
1131,3223430185155,Accessoires de soudure,B3989900,Verre en polycarbonate transparent extérieur pour cagoule de soudeur.,outifrance,Verre polycarbarbonate soudeur automatique 110x90 ext - OUTIFRANCE,12.67,D-0060208,0.0,https://www.centrale-brico.com/outifrance-verre-polycarbarbonate-soudeur-automatique-110x90-ext-b3989900,12.67
1132,8011399015072,Accessoires de soudure,B3989300,Étui de 40 électrodes Ø 2 mm et longueur 300 mm.,deca,Electrodes de soudure O 2 mm 40 pieces - DECA,16.39,D-0050220,0.0,https://www.centrale-brico.com/deca-electrodes-de-soudure-2-mm-40-pieces-b3989300,16.39
1133,3189640054608,Accessoires de soudure,B1444500,Allumeur + 5 pierres de rechange.,express,Allumeur a pierre pour chalumeaux + 5 pierres - EXPRESS,20.35,430405,0.59,https://www.centrale-brico.com/express-allumeur-a-pierre-pour-chalumeaux-5-pierres-b1444500,20.470777587767834
1134,400462531252,Accessoires de soudure,B5898600,Forte résistance mécanique,rothenberger,Lot de 10 brasures acier / cuivre d3.2 500 mm Rolot 605 ROTHENBERGER - ROTHENBERGER,10.58,ROT-31252,0.0,https://www.centrale-brico.com/rothenberger-lot-de-10-brasures-acier-cuivre-d32-500-mm-rolot-605-rothenberger-b5898600,10.58
1135,3154020083332,Accessoires de soudure,B3622500,,bd,"Electrode de soudure fonte bi-metal O 2,5 mm - Par 12 - BD",23.02,BD-318345,23.52,https://www.centrale-brico.com/bd-electrode-de-soudure-fonte-bi-metal-25-mm-par-12-b3622500,30.099372384937237
1136,4015878513343,Accessoires de soudure,B1863300,Roulette de soudeur. Guide le fil et le pousse dans l'encoche. Manche confort. Fût en laiton.,techno,Roulette de soudeur - TECHNO,25.94,T422300,35.15,https://www.centrale-brico.com/techno-roulette-de-soudeur-b1863300,40.0
1137,3189640054592,Accessoires de soudure,B1443600,"Ecran thermique sans fibre toxique ni amiante, protégeant les murs de la flamme et de la chaleur produite lors du brasage ou soudage.",express,1 pare-flammes - 220 x 360 mm - EXPRESS,20.69,425506,0.0,https://www.centrale-brico.com/express-1-pare-flammes-220-x-360-mm-b1443600,20.69
1138,3290650617254,Accessoires de soudure,B1396300,"Pour souder le zinc, l’acier, le galva.",techman,Soudure etain en baguette - TECHMAN,16.75,61725,0.0,https://www.centrale-brico.com/techman-soudure-etain-en-baguette-b1396300,16.75
1139,3154020064997,Accessoires de soudure,B6772700,"Le masque TECHNO 11 TRUE COLOR est entièrement automatique, il passe de l'état clair (3) à l'état teinté (11) en une fraction de seconde et ce dès l'amorçage. Champ de vision 98 x 35 mm. Alimentation solaire.",gys,Masque de soudeur automatique GYS Techno 11 true color - GYS,36.04,GYS-64997,11.67,https://www.centrale-brico.com/gys-masque-de-soudeur-automatique-gys-techno-11-true-color-b6772700,40.80153968074267
